"id","idade","sexo","horas_estudo_dia","horas_sono","frequencia","uso_celular_estudo","stress","numero_pets","nota_final"
1,32,2,7.6,8.4,44,0.3,4.2,0,5.87
2,31,2,9.4,5.9,22,0.5,6.8,1,4.62
3,20,1,8.7,6.2,31,4.3,7.1,0,4.18
4,27,1,8.1,7.3,49,1.9,7.8,1,5.61
5,35,1,6.5,6.8,45,4.4,7.2,1,3.52
6,28,1,8,7.4,80,1.7,5.6,0,6.77
7,22,1,7.7,10,43,1.9,3.7,0,7.05
8,31,1,7.9,5.9,63,1.3,7.7,3,4.99
9,22,1,6.8,6.8,79,2.4,7.4,1,5.06
10,26,2,8.5,6.6,35,1.1,3.6,0,5.72
11,20,1,7,9,57,4,7.1,1,5.35
12,25,1,7.8,6.3,39,2.1,4.2,1,4.92
13,24,1,8.4,7.1,50,3.7,4.6,1,5.25
14,27,1,7.2,8.1,100,4.4,4.9,2,6.49
15,26,1,8.6,5.9,83,4.4,8.9,0,5.21
16,21,1,6.7,9.2,36,1.8,5.3,0,5.28
17,31,1,5.2,8,29,2.9,5.2,0,3.68
18,34,1,8.5,5.9,20,0.5,6.4,1,4.82
19,28,1,8.8,7.7,100,0.7,2.7,0,8.77
20,24,1,7.7,6.9,21,0.7,3,3,5.06
21,29,2,8.5,7.6,46,0.9,2.1,0,7.32
22,32,2,6.8,7.1,99,0.1,6,0,6.68
23,27,2,7.9,8.5,29,1.3,6.7,1,5.35
24,30,2,6.1,5.6,100,0.2,5.6,0,5.9
25,24,2,9.2,6.6,59,0.3,6.9,1,6.11
26,26,2,9.9,6.9,74,1.1,6.6,0,6.95
27,26,1,9.1,6,24,0.8,5.9,0,4.97
28,27,1,8,6,53,0.8,7.9,1,4.59
29,24,1,8,7.2,49,2.9,5.9,0,5.1
30,23,1,6.5,7,48,0.6,5.7,0,5.14
31,19,2,8.8,4.1,34,3.5,5.2,0,3.93
32,22,2,7.8,8.4,30,4.9,3.8,1,5.23
33,25,1,7.3,7.5,37,3.5,4.6,0,5.15
34,29,2,6.6,10.1,32,4.8,2.6,0,5.2
35,30,1,7.7,8,44,4.5,5,0,4.71
36,35,2,7.2,6.7,34,5,6.5,1,3.53
37,18,2,7.6,10.6,54,1.2,3.7,1,7.43
38,23,1,6.8,10.6,57,3.9,5.1,2,6.6
39,32,1,9.7,5.7,27,3.5,5.9,3,4.46
40,26,1,8,7.8,26,2.2,2.3,1,5.39
41,32,1,9.1,6.9,55,3.4,4.4,1,6.15
42,33,2,5.4,7.4,43,0.7,4.8,0,4.27
43,23,2,7.5,7.5,64,0.1,7.6,2,5.97
44,28,1,7.3,5.7,88,0.7,8.6,0,4.66
45,25,1,6.8,7.5,20,3.5,1.6,0,4.23
46,24,1,9.5,9.3,21,1.5,6.6,2,6.09
47,33,2,6.6,7,44,1.7,3.7,0,4.85
48,34,1,8.3,7,34,4.5,6.9,3,4.84
49,35,1,8.8,8.9,31,2.4,4.8,2,5.92
50,34,1,8.2,8.3,27,3.7,6.7,0,4.74
51,19,1,7.1,5.2,28,3.2,3.1,0,3.92
52,21,1,8.9,7.5,26,4.1,8.7,1,4.39
53,30,1,8.2,9.2,32,2.7,5.8,0,5.6
54,22,1,6.9,8.9,22,2.1,0,1,6.68
55,31,1,6.6,7.7,76,2.5,6.2,2,5.25
56,20,1,10.1,8.1,45,0.3,10,0,6.3
57,25,1,7.3,5.8,42,3.1,8.8,1,3.36
58,33,2,6.1,7.6,29,3.1,9,0,2.71
59,29,1,8.5,6.1,53,0.8,3.5,0,6.08
60,31,1,8.3,6.7,36,2.1,7.3,3,4.99
61,20,2,6.6,8.3,47,1.4,9.7,1,4.1
62,31,2,6.1,5.8,45,1.9,6.4,3,3.37
63,24,1,7.9,7.5,100,3.9,4.4,1,7.33
64,20,2,9.1,7.7,28,4.9,7.1,0,4.54
65,32,1,8.6,7.3,69,2.5,7.6,2,5.77
66,22,2,7.5,9.4,61,4,4,0,6.8
67,25,2,7.2,6,42,4.8,7,2,3.44
68,27,1,8.3,7.9,21,2,4.1,1,5.33
69,35,1,8.2,7.1,48,4.4,8,0,4.87
70,27,1,8.6,6.9,27,0.1,6.5,1,5
71,29,2,7.6,7.8,49,3.4,6.5,1,5.28
72,19,1,8.9,6,23,1.9,5.9,1,4.72
73,27,2,7.2,5.6,38,1.4,2.4,2,4.78
74,29,1,7.7,6.6,71,4.2,7.5,2,5.56
75,31,2,8.7,9.3,23,2.9,9.1,3,4.82
76,34,2,9,7.3,31,3.2,5.1,1,4.85
77,31,2,6.1,7.6,25,1.8,5.7,0,3.95
78,20,1,8.1,7,20,3,5.4,0,4.51
79,25,1,8.6,7.8,20,4.6,5.1,3,5.08
80,31,1,6.5,6.1,47,4.3,4.2,3,4.25
81,32,1,8.5,8.6,51,5,8,3,5.03
82,34,2,7.2,7.9,23,2.2,6.6,1,4.96
83,28,1,9,6.2,68,4.4,6.4,2,5.9
84,24,2,8.5,7.3,100,1.8,7,1,6.83
85,32,1,8.8,8.1,54,0.3,4.8,0,6.47
86,23,2,8.1,7.9,40,2,2.3,1,6.16
87,31,2,8.9,9,40,2.5,9,3,5.67
88,24,1,9.4,6.5,29,3.8,3.5,1,5.22
89,27,2,10,8.5,59,1.2,5.5,1,7.77
90,22,2,8,8.4,22,2,8.3,0,4.22
91,23,1,5.8,7,95,2.1,5,1,5.42
92,33,1,8,6,34,3.9,9.2,2,3.37
93,28,2,8.2,5.9,69,2.6,0.6,1,6.72
94,21,2,7.8,7.7,59,0.5,5.5,2,6.12
95,29,2,8.6,7.1,60,2.4,7.5,1,5.46
96,31,1,9,9.3,55,0.5,6.5,1,7.02
97,24,1,7.5,7.8,64,4.5,5.8,1,4.82
98,26,1,7.7,6.8,73,2.8,7.3,0,4.85
99,24,2,8.4,6,100,4.6,6.5,1,6.11
100,19,1,7.4,6.5,36,3.9,5.8,1,4.22
101,33,1,8.1,7.6,64,3.2,1.9,2,7.66
102,30,1,6,6.7,45,1.7,7.4,0,3.28
103,32,1,6.9,7.8,28,3.9,6.6,1,3.82
104,24,2,6.7,6.8,21,1.4,5.3,1,3.98
105,21,2,7.1,7.1,32,1.2,1.9,0,5.72
106,18,2,7.3,6.3,75,0,6,0,5.47
107,25,1,8.4,9.5,38,1.9,4.7,1,6.65
108,33,1,9,7.6,40,3.2,6.3,2,5.23
109,28,2,7.3,7.5,53,4.1,4.7,1,5.19
110,33,1,7,5.2,100,0.9,8.3,0,4.62
111,25,1,7,8,30,4.9,3.4,2,4.46
112,20,2,7.6,6,78,3.3,4.1,0,5.47
113,21,1,7.8,6.1,100,4.1,9.4,1,5.14
114,29,1,8.5,8.3,74,4.6,2.6,1,7.54
115,34,2,7.7,6.7,100,3,3.3,0,6.73
116,27,1,5.9,5.1,67,1.5,7.6,0,3.29
117,28,2,7.9,9.3,25,3.9,5.5,0,5.25
118,25,1,9.2,4.3,100,3.8,3.1,0,6.35
119,31,1,9.2,7.9,36,4.3,7.7,0,5.02
120,30,1,7.2,8.4,46,2.2,5.5,2,5.32
121,19,1,6.5,6.4,47,4.2,3.6,0,4.2
122,28,1,10.5,7.7,100,3.2,5.9,3,8.01
123,30,1,7.8,7.7,34,1.9,3.8,1,5.57
124,31,1,7.9,8.4,87,0.6,3.5,1,7.91
125,23,2,8.4,7.8,100,2.7,5.9,1,7.45
126,25,1,6.4,6.9,54,3.3,6.2,2,4.34
127,29,2,7.3,8.3,20,0.3,5.7,0,5.19
128,21,2,6.5,8.2,100,4.5,5.9,0,5.84
129,30,1,7.3,6.1,31,1,4.3,3,4.57
130,31,2,8.1,5.5,32,4.8,8.1,3,3.07
131,33,2,6.6,7.4,31,0.5,5.4,1,4.31
132,18,2,8.6,6.9,20,0.6,2.1,1,5.69
133,25,1,8.3,6,100,2.3,6.1,1,6.26
134,25,2,7.1,7.3,23,3.5,5,0,4.15
135,27,2,8.2,5.6,58,1.9,6.2,2,4.28
136,25,1,8.7,7.4,23,1.5,5.8,1,5.58
137,35,2,9.1,6.5,28,3.5,3.3,1,5.44
138,26,2,7.8,8.3,67,3.5,3.2,0,6.88
139,24,1,7.9,10.1,100,3.7,3.9,2,8.42
140,24,1,7.9,6.1,70,2.1,7.6,1,5.08
141,27,1,9.4,8.5,65,1,6.4,0,6.47
142,28,1,9.1,8.2,24,2,8.9,1,4.91
143,18,1,8.8,7.1,26,1.4,5.1,1,5.37
144,27,2,7.7,6.7,94,3.8,6.2,2,5.39
145,30,2,8.4,9.1,38,2.8,7.5,2,5.78
146,28,1,8.4,4.8,26,3.9,8.1,0,2.38
147,28,2,7,6.4,38,2.6,5.7,0,4.02
148,24,2,6.3,5.5,58,3,7.4,0,2.96
149,26,1,8.6,8.9,33,3.3,5.9,1,5.55
150,26,1,6.5,7,21,3.4,6.5,1,3.59
151,22,1,8,6.6,51,0.6,3.7,1,6
152,31,2,8.3,11,53,3.2,5.3,2,7.07
153,31,2,8.6,7.1,100,1.2,5.9,0,7.74
154,23,1,8.2,6.7,77,3,6.1,3,6.28
155,18,2,7.3,7.6,47,3.6,3.4,1,5.38
156,27,2,9,5.3,50,2.7,6.9,3,4.41
157,34,2,9.7,7.8,20,3.7,6.3,1,5.36
158,34,1,8.9,7.1,31,4.1,6.1,2,4.93
159,24,2,6.1,7.8,42,2.2,3.6,3,5.4
160,26,2,9.4,6,38,3.8,7.1,0,4.22
161,23,2,7.9,6,27,4.7,5,0,3.81
162,35,1,8.5,6.4,24,3.9,5.4,2,4.41
163,34,1,8.6,6.3,22,4.8,4.3,1,4.06
164,22,1,7.9,8.8,80,4.3,7.1,2,5.83
165,20,2,7.9,9.1,38,1.2,3.6,2,6.02
166,31,1,9,7,83,3.5,5.4,0,6.64
167,18,1,8.7,6.8,59,4,3.9,0,5.95
168,19,2,9,6.8,37,2.2,3,0,5.9
169,21,2,10.4,7.3,100,4.2,5,0,7.94
170,27,1,8.7,7.3,30,0.7,1.5,0,6.12
